smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
C=C1C(=O)O[C@@H]2C[C@@]3(C)CCCC(=C)[C@@H]3C[C@H]12,3.2406000000000024,232.32299999999992,26.3,0,2,0,0.363920134015077,4.243970384898284
C=C1[C@@H]2[C@@H](O)c3c(C)coc3C[C@@]2(C)[C@@H]2C[C@@H]12,3.0059200000000015,230.30699999999996,33.370000000000005,1,2,0,0.6949665807583025,4.956131651929857
C=C1C(=O)O[C@@H]2C3=C(C)C(=O)C=C[C@]3(C)CC[C@@H]12,2.3397000000000006,244.28999999999996,43.370000000000005,0,3,0,0.48499136470216336,4.289982321362814
C=C1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24O3,2.383400000000001,264.32099999999997,44.760000000000005,0,4,0,0.49755952487874916,5.845472199024658
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1C(=O)C[C@@](C)(O)[C@@H]12,1.5345,262.30499999999995,63.60000000000001,1,4,0,0.5309974265752904,4.4110472300712225
C=C1C(=O)O[C@H]2[C@H]1C[C@H](O)C(C)=C1CC[C@@](C)(O)[C@@H]12,1.3262999999999998,264.3209999999999,66.76,2,4,0,0.3933262779823611,4.736335290209562
C=C1C(=O)O[C@H]2[C@H]1CC(=O)C(C)=C1CC[C@@](C)(O)[C@@H]12,1.5345,262.30499999999995,63.60000000000001,1,4,0,0.5309974265752904,4.522954017401539
C=C1C(=O)O[C@H]2[C@H]1CC(=O)C(C)=C1C(O)C[C@@](C)(O)[C@@H]12,0.5052999999999999,278.304,83.83000000000001,2,5,0,0.4979227690889599,4.750805044834102
C=C1C(=O)O[C@H]2[C@H]1CC[C@](C)(O)C1=CC[C@@](C)(O)[C@@H]12,1.3262999999999998,264.32099999999997,66.76,2,4,0,0.39332627798236114,4.7935904938294716
C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)[C@@]34O[C@H]4[C@H]12,2.4518000000000004,248.32199999999995,38.83,0,3,0,0.37533262504370507,5.138940090777168
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](O)C(=C)[C@@H]3C[C@H]12,2.2114000000000003,248.32199999999995,46.53,1,3,0,0.40598593548882295,4.570371788375546
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](O)[C@]4(CO4)[C@@H]3C[C@H]12,1.4242,264.3209999999999,59.06,1,4,0,0.40827682281631555,5.123934211860066
C=C1[C@@H]2[C@H]3OC(=O)C(=C)[C@@H]3CCC(=C)[C@@H]2C[C@@H]1OC(C)=O,2.5582000000000003,288.343,52.6,0,4,1,0.422570909221484,4.571623894242721
CCC(C)C(=O)O[C@H]1[C@@H]2[C@H](C)C(=O)O[C@@H]2C[C@@H](C)[C@@H]2C=CC(=O)[C@]21C,2.9232000000000014,348.4390000000001,69.67000000000002,0,5,3,0.73358469243477,4.806113998959452
C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC(=O)[C@H]3[C@@H](C)C[C@H](OC(C)=O)[C@@H]12,1.8171,304.34200000000004,69.67000000000002,0,5,1,0.545715521581266,4.577054932799718
C[C@H](O)[C@@H]1C[C@@H]2[C@H](OC(=O)[C@@H]2C)[C@H]2[C@@](C)(O)[C@H](Cl)[C@H]3O[C@@]312,0.6905999999999997,316.78100000000006,79.29,2,5,1,0.4226083221601056,5.9303324422299495
C=C1CC[C@H]2C(=C)C(=O)O[C@@H]2[C@H]2C(=C)[C@@H](O)[C@H](OC(=O)C(C)C)[C@@H]12,2.1651,332.3960000000001,72.83000000000001,1,5,2,0.47652369265460004,4.829281532471297
C=C1C[C@H](OC(=O)C(C)C)[C@H]2C(=C)C[C@H](O)[C@H]3C(=C)C(=O)O[C@@H]3[C@@H]12,2.1651,332.3960000000001,72.83,1,5,2,0.47652369265460004,4.813326003625145
C=C1C(=O)O[C@H]2[C@H]3C(C)=CCC[C@]3(C)CC[C@@H]12,3.2406000000000024,232.32299999999992,26.3,0,2,0,0.363920134015077,4.335045671313997
C=C1C(=O)O[C@@H]2[C@H]3C(C)=CCC3=C(C)CC[C@@H]12,3.160700000000002,230.30699999999993,26.3,0,2,0,0.3628100387642648,4.314580743319207
C=C1C(=O)O[C@H]2[C@@H]3C(C)=CC(=O)C3=C(C)CC[C@H]12,2.3397000000000006,244.28999999999994,43.370000000000005,0,3,0,0.48499136470216336,4.134475884942091
C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@H]2[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,0.3755999999999991,364.4380000000001,107.22000000000001,4,6,0,0.4629811579906462,6.85572903496933
C=C1C(=O)[C@]23[C@H](OC(=O)/C=C/c4ccc(N5CCOCC5)cc4)[C@H]1CC[C@H]2[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,2.476500000000001,579.6900000000003,125.76000000000002,3,9,4,0.3644243992550064,6.755752431768393
C=C1C(=O)[C@]23[C@H](OC(=O)Nc4cccc(Cl)c4)[C@H]1CC[C@H]2[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,3.2854000000000023,518.0060000000004,125.32000000000002,4,7,2,0.44347043299359945,6.6829673842397
C=C1C(=O)[C@]23[C@H](OC(=O)N4CCN(c5ccccc5)CC4)[C@H]1CC[C@H]2[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,2.3421000000000007,552.6680000000005,119.77000000000002,3,8,2,0.47868482110967175,6.63613694422402
C=C1C(=O)[C@]23[C@H](OC(=O)N4CCN(S(C)(=O)=O)CC4)[C@H]1CC[C@H]2[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,0.09710000000000246,554.6620000000004,153.91,3,9,2,0.4032887588695427,6.846453363667431
C=C1C(=O)O[C@H]2[C@H]1CC/C(CF)=C\CC[C@@]1(C)O[C@@H]21,2.7116000000000007,266.3119999999999,38.83,0,3,1,0.3168861266847759,4.956645460215373
C=C1CC[C@H]2C(=C)C(=O)O[C@@H]2[C@@H]2O[C@]2(C)CCC1F,2.710000000000001,266.31199999999995,38.83,0,3,0,0.29274128561719875,5.1971102546200445
C=C1C(=O)O[C@H]2[C@H]1CC/C(C(F)F)=C\CC[C@@]1(C)O[C@@H]21,3.007200000000002,284.30199999999996,38.83,0,3,1,0.32143725627995395,5.037117193992836
